name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius,log_mass,mass_source
2MASS J0534-0530 b,4.6,0.324504,3860841.486198964,198.5,0.143,493.8,Imaging,2MASS J0534-0530,0.04,0.0699999999999999,0.74,2841.0,1905822.3214285716,0.0003230415669572,1653346623.1233242,0.0945945945945946,0.0242621329866395,2.297760511099134,0.000352644836272,2.590108927223816e-07,0.1727439638323495,0.2542857142857143,-1.1254574162575706,0.6627578316815741,Observed
2MASS J0558-4501 b,9.0,0.4122594673639317,11.63124914,1043.0,0.1289777510537905,934.2961255873558,Imaging,2MASS J0558-4501,0.0017237682768832,0.9291203064568994,0.96,5533.0,139466.00274725264,0.0516290683000081,9.032184334005978e+16,0.9865269461077844,0.0242621329866395,3.018284308426531,8.830474890037763,0.0859752915136527,1.0963722511574077,0.2542857142857143,-0.8861023527025891,0.9542425094393249,Observed
2MASS J1155-7919 b,10.0,0.4122594673639317,11.63124914,582.0,0.1289777510537905,934.2961255873558,Astrometry,2MASS J1155-7919,0.0017237682768832,0.9291203064568994,0.96,5533.0,139466.00274725264,0.0516290683000081,9.032184334005978e+16,0.9865269461077844,0.0242621329866395,2.7649229846498886,8.830474890037763,0.0859752915136527,1.0963722511574077,0.2542857142857143,-0.8861023527025891,1.0,Observed
2MASS J2236+4751 b,12.5,0.5038,1644774.4591774582,230.0,0.1038,908.8,Imaging,2MASS J2236+4751,-0.0592,0.6,0.96,5533.0,222345.9375,0.0008786205382676,9.032184334005978e+16,0.9865269461077844,0.0242621329866395,2.361727836017593,0.0026086956521739,6.079860946406561e-07,1.0963722511574077,0.2542857142857143,-0.6855759150636271,1.0969100130080565,Observed
41 Her Ab,9.5,0.637358,5858.25,6.4,0.1,938.6,"Radial Velocity, Astrometry",41 Her A,-0.27,1.09,2.82,5100.0,130916.95046424864,0.0068642318040283,16516604003906.246,0.3865248226950355,0.0242621329866395,0.8061799739838872,0.1703125,0.0001706994409593,0.0486048014052406,0.2542857142857143,-0.4504237718589689,0.9777236052888477,Observed
51 Eri Ab,4.1,1.11,10260.0,11.1,0.49,700.0,Imaging,51 Eri A,-0.027,1.75,0.96,5533.0,76970.76185023593,0.0067975981393463,9.032184334005978e+16,0.9865269461077844,0.0001081871345029,1.0453229787866574,0.1576576576576576,9.746588693957116e-05,1.0963722511574077,0.2542857142857143,0.1043600153242428,0.6127838567197355,Observed
51 Peg b,0.61,1.2,4.2307966,0.052,0.0069,1363.4,Radial Velocity,51 Peg,0.18,1.03,1.176,5758.0,127301.71733167072,0.0772255598327129,4.065181634726687e+17,0.8758503401360545,0.283634528778812,-1.2839966563652008,19.80769230769231,0.2363621073156767,0.6333084161518743,1.020408163265306,0.1823215567939546,-0.21467016498923297,Observed
51 Peg c,10.0,0.2242,80997.98189570641,37.0,0.0846,754.8,"Imaging, Astrometry",51 Peg,0.18,1.03,1.176,5758.0,129521.90533980582,0.0028701685020373,802940185558.8722,0.8758503401360545,0.0242621329866395,1.568201724066995,0.0278378378378378,1.2345986610970223e-05,0.6333084161518743,0.2542857142857143,-1.4952167683440776,1.0,Observed
54 Psc b,0.23,0.1883999999999999,62.25,0.295,0.645,898.2,Radial Velocity,54 Psc,0.05,0.79,0.947,5173.0,150942.89094795476,0.0297757376002888,8228598679517853.0,0.8342133051742345,0.0242621329866395,-0.530177984021837,2.677966101694916,0.0160642570281124,0.9302017544139662,0.2542857142857143,-1.6691879168398744,-0.638272163982407,Observed
55 Cnc Ab,0.84,0.1873599999999999,14.65314,0.11339,0.0022999999999999,1022.4,Radial Velocity,55 Cnc A,0.35,0.9,0.963,5250.0,147277.74707855264,0.0486210042339794,5.908642351292618e+16,0.9345794392523366,0.0242621329866395,-0.9454252447051772,7.937207866654908,0.0682447584613263,1.007775156655373,0.2542857142857143,-1.67472337913273,-0.07572071393811836,Observed
55 Cnc Ae,0.02703,0.1737,0.7365478,0.015439,0.028,885.2,"Radial Velocity, Primary Transit",55 Cnc A,0.35,0.9,0.963,5250.0,147415.9147499842,0.1317037372965415,3.187123401943377e+18,0.9345794392523366,0.2358299081200161,-1.8113808327921512,58.29393095407734,1.3576851359816702,1.007775156655373,0.1803738317757009,-1.7504256057350778,-1.5681539543012746,Observed
61 Vir b,0.052,0.2401999999999999,4.215,0.050201,0.12,1160.8,Radial Velocity,61 Vir,-0.01,0.95,0.94,5531.0,140429.40407782712,0.0748332587439436,3.713555314037922e+17,1.0106382978723405,0.0242621329866395,-1.2992876316566475,18.92392581821079,0.2372479240806643,1.143773537655433,0.2542857142857143,-1.426283369336254,-1.2839966563652008,Observed
61 Vir c,0.021,0.2104,38.021,0.2175,0.14,1255.1999999999998,Radial Velocity,61 Vir,-0.01,0.95,0.94,5531.0,140497.72320551315,0.0359431052395139,1.978318040059233e+16,1.0106382978723405,0.0242621329866395,-0.6625407387093438,4.367816091954023,0.0263012545698429,1.143773537655433,0.2542857142857143,-1.558744798118582,-1.6777807052660807,Observed
70 Vir Ab,8.0,0.2448,116.67,0.48,0.43,896.4,Radial Velocity,70 Vir A,-0.11,0.92,1.968,5432.0,123082.03938802086,0.0258500809757967,3778823176551111.0,0.467479674796748,0.0242621329866395,-0.3187587626244128,1.9166666666666667,0.0085711836804662,0.1207014660370676,0.2542857142857143,-1.407313728343966,0.9030899869919435,Observed
AB Aur b,9.0,1.91286,214527.5100858704,93.9,0.4,994.8,"Imaging, Other, Kinematic",AB Aur,0.0831999999999999,2.4,2.28,9500.0,55586.484375000015,0.0027501885427561,923768686466.5806,1.0526315789473684,0.0242621329866395,1.972665592266111,0.0255591054313099,4.66140682656375e-06,0.2024914548606049,0.2542857142857143,0.6485995042986313,0.9542425094393249,Observed
AB Pic b,12.9,1.75,11.63124914,242.0,0.54,351.02,"Imaging, Astrometry",AB Pic,0.04,0.921,0.96,5285.0,139466.00274725264,0.0516290683000081,13321380540.957329,0.9865269461077844,0.0242621329866395,2.383815365980431,8.830474890037763,0.0859752915136527,1.0963722511574077,0.2542857142857143,0.5596157879354227,1.110589710299249,Observed
AB Pic c,5.75,0.72838,11.63124914,3.571,0.15542,555.6399999999999,Astrometry,AB Pic,0.04,1.077,0.96,5285.0,139466.00274725264,0.0516290683000081,61178703079814.82,0.9865269461077844,0.0242621329866395,0.5527898501927819,8.830474890037763,0.0859752915136527,1.0963722511574077,0.2542857142857143,-0.3169323889466131,0.7596678446896304,Observed
AF Lep b,3.75,1.3,8875.0,8.98,0.0129999999999999,1564.8000000000002,Imaging,AF Lep,0.19,1.2,1.25,6130.0,108769.6455906106,0.0063575215840532,17510124126492.426,0.96,0.0001464788732394,0.9532763366673044,0.1336302895322939,0.000112676056338,0.6144,1.04,0.262364264467491,0.5740312677277188,Observed
AS 209 b,1.3,0.7000000000000001,943071.444801506,200.0,0.13746,881.2,Imaging,AS 209,0.0138,1.2,2.18,4265.0,111172.96875,0.0013324940208537,8272107138.765625,0.5504587155963302,0.0242621329866395,2.3010299956639813,0.006,1.0603650502963496e-06,0.1158275220091596,0.2542857142857143,-0.3566749439387323,0.11394335230683679,Observed
AT2021uey b,1.34,0.2769199999999999,4170.0,4.01,0.0723999999999999,606.6,Microlensing,AT2021uey,0.082,0.4899999999999999,0.96,3680.0,269673.94729511946,0.0060421038565443,11405190126927.072,0.9865269461077844,0.0242621329866395,0.6031443726201823,0.1221945137157107,0.0002398081534772,1.0963722511574077,0.2542857142857143,-1.2840266231723123,0.12710479836480765,Observed
AU Mic b,0.028,0.4273,8.463446,0.07,0.07,569.5,Primary Transit,AU Mic,-0.0502,0.5,0.75,3700.0,208833.58074319523,0.051967363116935,3.824818367346938e+16,0.6666666666666666,0.0504877091435332,-1.154901959985743,7.142857142857142,0.1181551817073093,1.1851851851851851,0.5697333333333333,-0.8502689363321577,-1.5528419686577808,Observed
AU Mic c,0.0456,0.2248,18.859023,0.119,0.18,436.0,Primary Transit,AU Mic,-0.087,0.5,0.75,3700.0,211055.8994816092,0.0396467543177804,1.3234665630958268e+16,0.6666666666666666,0.0119200236406732,-0.9244530386074692,4.201680672268908,0.0530250161951655,1.1851851851851851,0.2997333333333333,-1.4925441609626011,-1.341035157335565,Observed
