name,mass,radius,orbital_period,semi_major_axis,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,log_radius,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_mass,mass_source
109 Psc b,6.8,1.152,1075.4,2.051,"Radial Velocity, Astrometry",109 Psc,0.1,1.13,1.79,5600.0,0.1414995622736994,134042.67407496832,0.0119832741910222,233787231068503.97,0.6312849162011173,0.0010712293100241,0.3119656603683663,0.5509507557289126,0.0009298865538404,0.1970240991857673,0.6435754189944134,0.8325089127062363,Observed
1RXS 1609 b,6.6,1.7,2277081.388074019,305.0,Imaging,1RXS 1609,-0.0552,0.73,1.35,4060.0,0.5306282510621704,182750.08561643845,0.0008415911388703,2920817725.987637,0.5407407407407407,7.46569713714923e-07,2.484299839346786,0.0023934426229508,4.391586551264254e-07,0.2967027384036985,1.259259259259259,0.8195439355418687,Observed
2MASS J0103-5515 (AB)b,10.5,1.54,444609.9299498381,84.0,Imaging,2MASS J0103-5515,-0.154,0.4,0.94,5573.0,0.4317824164255378,333518.90624999994,0.0011870800228475,1.300672220682913e+17,0.9957332605531296,3.4637103138334004e-06,1.9242792860618816,0.0047619047619047,2.24916254145026e-06,1.146640925529523,0.2542857142857143,1.021189299069938,Observed
51 Eri Ab,4.1,1.11,10260.0,11.1,Imaging,51 Eri A,-0.027,1.75,0.94,5573.0,0.1043600153242428,76970.76185023593,0.0067975981393463,1.300672220682913e+17,0.9957332605531296,0.0001081871345029,1.0453229787866574,0.1576576576576576,9.746588693957116e-05,1.146640925529523,0.2542857142857143,0.6127838567197355,Observed
51 Peg b,0.61,1.2,4.2307966,0.052,Radial Velocity,51 Peg,0.18,1.03,1.176,5758.0,0.1823215567939546,127301.71733167072,0.0772255598327129,4.065181634726687e+17,0.8758503401360545,0.283634528778812,-1.2839966563652008,19.80769230769231,0.2363621073156767,0.6333084161518743,1.020408163265306,-0.21467016498923297,Observed
55 Cnc Ae,0.02703,0.1737,0.7365478,0.015439,"Radial Velocity, Primary Transit",55 Cnc A,0.35,0.9,0.963,5250.0,-1.7504256057350778,147415.9147499842,0.1317037372965415,3.187123401943377e+18,0.9345794392523366,0.2358299081200161,-1.8113808327921512,58.29393095407734,1.3576851359816702,1.007775156655373,0.1803738317757009,-1.5681539543012746,Observed
AB Pic b,12.9,1.75,8.05380809,242.0,"Imaging, Astrometry",AB Pic,0.04,0.948,0.94,5285.0,0.5596157879354227,137950.0679347825,0.0585918263646933,13321380540.957329,0.9957332605531296,0.0242621329866395,2.383815365980431,11.632943684351554,0.1241648661426363,1.146640925529523,0.2542857142857143,1.110589710299249,Observed
AF Lep b,3.75,1.3,8875.0,8.98,Imaging,AF Lep,0.19,1.2,1.25,6130.0,0.262364264467491,108769.6455906106,0.0063575215840532,17510124126492.426,0.96,0.0001464788732394,0.9532763366673044,0.1336302895322939,0.000112676056338,0.6144,1.04,0.5740312677277188,Observed
AU Mic b,0.028,0.4273,8.463446,0.07,Primary Transit,AU Mic,0.0108,0.5,0.75,3700.0,-0.8502689363321577,208833.58074319523,0.051967363116935,3.824818367346938e+16,0.6666666666666666,0.0504877091435332,-1.154901959985743,7.142857142857142,0.1181551817073093,1.1851851851851851,0.5697333333333333,-1.5528419686577808,Observed
AU Mic c,0.0456,0.2248,18.859023,0.119,Primary Transit,AU Mic,0.0108,0.5,0.75,3700.0,-1.4925441609626011,211055.8994816092,0.0396467543177804,1.3234665630958268e+16,0.6666666666666666,0.0119200236406732,-0.9244530386074692,4.201680672268908,0.0530250161951655,1.1851851851851851,0.2997333333333333,-1.341035157335565,Observed
