name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff
CoRoT-29 b,0.85,0.9,2.85057,0.039,0.082,1061.4,Primary Transit,CoRoT-29,0.2,0.976,0.9,5260.0
CoRoT-2 Ab,3.31,1.465,1.7429964,0.0281,0.0,1609.6,Primary Transit,CoRoT-2 A,-0.039999999999999994,0.972,0.938,5529.0
CoRoT-30 b,2.9,1.009,9.06005,0.0844,0.007000000000000006,750.0,Primary Transit,CoRoT-30,0.019999999999999997,0.98,0.91,5660.0
CoRoT-31 b,0.84,1.46,4.62941,0.0586,0.020000000000000004,927.2,Primary Transit,CoRoT-31,0.0,1.25,2.15,5370.0
CoRoT-32 b,0.15,0.57,6.71837,0.071,0.23359999999999997,938.0,Primary Transit,CoRoT-32,0.0,1.09,0.79,5970.0
CoRoT-35 b,1.1,1.68,3.22748,0.0429,0.0,1747.0,Primary Transit,CoRoT-35,-0.5,1.01,1.65,6390.0
CoRoT-36 b,0.68,1.41,5.616531,0.066,0.0,1567.0,Primary Transit,CoRoT-36,-0.1,1.32,1.52,6730.0
CoRoT-4 b,0.72,1.19,9.20166201,0.09,0.0,1721.4,Primary Transit,CoRoT-4,0.05,1.1,1.15,6190.0
CoRoT-5 b,0.467,1.33,4.0379148,0.04947,0.09,1092.2,Primary Transit,CoRoT-5,-0.25,1.0,1.186,6100.0
CoRoT-6 b,2.96,1.166,8.886593,0.0855,0.1,1268.6,Primary Transit,CoRoT-6,-0.2,1.055,1.025,6090.0
CoRoT-7 Ab,0.01907,0.136,0.8535,0.0172,0.12,708.8,Primary Transit,CoRoT-7 A,0.029999999999999995,0.93,0.87,5313.0
CoRoT-8 b,0.2158,0.5692,6.21229,0.063,0.0,1236.8,Primary Transit,CoRoT-8,0.3,0.88,0.77,5080.0
CoRoT-9 Ab,0.84,0.94,95.273804,0.407,0.133,1406.4,Primary Transit,CoRoT-9 A,-0.01,0.99,0.94,5625.0
CT Cha b,9.7,2.2,8.05380809,500.0,0.59,1043.4,Imaging,CT Cha,0.032,0.896,0.94,5573.0
DH Tau b,11.3,2.6,2722900.0,234.0,0.58,2050.0,Imaging,DH Tau,-0.182,0.4099999999999999,1.26,3600.0
DS Tuc Ab,0.0453,0.5085,8.138268,0.0795,0.0946,973.4,Primary Transit,DS Tuc A,-0.08,0.959,0.872,5597.0
EPIC 201390927 b,,0.31814,2.6378,0.03760525794962672,0.11840000000000002,1313.0,Primary Transit,EPIC 201390927,0.01,0.97,1.01,5711.0
EPIC 201456770 b,,0.20707,8.0069,0.07773811468675058,0.036,952.0,Primary Transit,EPIC 201456770,-0.214,0.93,0.861,5365.82
G 9-40 b,0.013,0.17,5.7459982,0.0418,0.0,440.6,Primary Transit,G 9-40,0.04000000000000001,0.29000000000000004,0.31,3348.0
Gaia-1 b,1.68,1.229,3.042524,0.04047,0.04905999999999999,696.2,Primary Transit,Gaia-1,0.036000000000000004,0.93,0.962,5370.0
Gaia-2 b,0.773,1.327,3.6915237,0.0467,0.346,1084.2,Primary Transit,Gaia-2,-0.0364,1.0,1.064,5720.0
Gaia EDR3 2077240046296834304 b,,0.81,4.99671123,0.032,0.040999999999999995,791.6,Primary Transit,Gaia EDR3 2077240046296834304,0.32,0.749,0.72,4410.0
GJ 1018 b,0.00843,0.1356,7.397225,0.0559,0.0366,458.0,Primary Transit,GJ 1018,-0.39,0.42700000000000005,0.428,3433.0
GJ 1132 b,0.00522,0.1035,1.628931,0.0154,0.0,580.0,Primary Transit,GJ 1132,-0.12,0.18100000000000005,0.207,3270.0
GJ 1214 b,0.02571,0.24463,1.580404497,0.01411,0.27,713.6,Primary Transit,GJ 1214,0.39,0.15000000000000002,0.216,3026.0
GJ 1252 b,0.00415,0.1053,0.5182349,0.00916,0.1056,997.0,Primary Transit,GJ 1252,0.1,0.381,0.391,3458.0
GJ 143 b,0.0815,0.2506,35.613442,0.1904,0.122,436.0,Primary Transit,GJ 143,0.003,0.76,0.73,4640.0
GJ 143 c,0.01164,0.08779,7.789787,0.0691,0.25,728.0,Primary Transit,GJ 143,0.003,0.76,0.73,4640.0
GJ 238 b,,0.0505,1.7446999,0.02123,0.049999999999999996,758.0,Primary Transit,GJ 238,0.15,0.41999999999999993,0.566,3485.0
GJ 3090 b,0.01051,0.19,2.8531054,0.03165,0.18,692.0,Primary Transit,GJ 3090,-0.06,0.519,0.516,3556.0
GJ 341 b,0.00227,0.0821,7.576863,0.0608,0.021040000000000003,540.0,Primary Transit,GJ 341,-0.236,0.522,0.525,3745.0
GJ 3470 b,0.0437,0.38826,3.336649,0.03557,0.019000000000000003,590.0,Primary Transit,GJ 3470,0.2,0.51,0.48,3652.0
