Feature,Importance
log_radius,1.2149740411321215
kepler_ratio,0.016942460516699804
star_mass_orbit_ratio,0.008074495442087382
thermal_equilibrium,0.007739980635375054
eccentricity,0.006503238769155273
star_metallicity,0.003860788528617637
star_compactness,0.002053582188788211
star_density,0.001777657063228233
radius_period_ratio,0.001082909077625377
log_semi_major,0.001011231405593349
orbital_velocity,0.0009163434331312559
temp_calculated,0.0006759020382199332
temp_ratio,0.0004613676770590269
semi_major_axis,0.0003397115799907258
star_radius_orbit_ratio,0.00032190598613184295
log_star_teff,0.00024409782461990437
star_radius,0.00022126868279012112
radius_normalized,0.0002166005766349066
orbital_frequency,0.00018161878132047504
log_period,-0.00010856184211532338
star_teff,-0.000129779666415486
orbital_period,-0.0003101576146448959
log_star_mass,-0.0009372794779234972
star_mass,-0.0011304825174869083
