name,mass,radius,orbital_period,semi_major_axis,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_radius
TOI-3023 b,0.62,1.466,3.9014971,0.0505,Primary Transit,TOI-3023,0.085,1.12,1.668,5760.0,118192.0982028235,0.0813279748465196,4.3162558249583366e+17,0.6714628297362111,0.3757531948441023,-1.2967086218813386,22.17821782178218,0.2563118655143945,0.24134031973565434,0.8788968824940048,0.38253760346445975
TOI-3071 b,0.2146,0.6388,1.266918,0.0249,Primary Transit,TOI-3071,0.35,1.29,1.31,6177.0,103967.82813413622,0.12348969242584895,2.3480736296160404e+18,0.9847328244274809,0.5042157424553129,-1.6038006529042637,51.807228915662655,0.7893170670872148,0.5738201878838535,0.48763358778625954,-0.4481638626412796
TOI-3082 b,0.0410483,0.326713,1.926907,0.027,Primary Transit,TOI-3082,-0.02600000000000001,0.664,0.68,4249.0,188638.4487450592,0.08804057657886387,4.471151606419767e+17,0.9764705882352941,0.16955307132103417,-1.5686362358410126,24.592592592592595,0.5189664057476567,2.1117443517199264,0.480460294117647,-1.1186731693088139
TOI-3135 b,1.03,1.218,3.7065585,0.04756,Primary Transit,TOI-3135,0.071,1.044,0.985,5890.0,127707.43434925006,0.08062149652014425,5.320806768140602e+17,1.0598984771573605,0.3286067115897402,-1.322758154053346,21.951219512195124,0.2697920456401808,1.0924254447755526,1.2365482233502538,0.19721016928770527
TOI-3160 Ab,1.19,1.228,3.971281,0.0505,Primary Transit,TOI-3160 A,-0.114,1.088,1.346,6190.0,122457.98290760464,0.07989886840356276,5.756782743691794e+17,0.8083209509658247,0.3092201231793973,-1.2967086218813386,21.544554455445546,0.251807917898532,0.4461631684909912,0.912332838038633,0.2053868297249507
TOI-3235 Ab,0.665,1.017,2.59261842,0.02709,Primary Transit,TOI-3235 A,0.264,0.39390000000000003,0.3697,3388.0,338103.90708935173,0.0656523492460163,1.7953767490361824e+17,1.0654584798485258,0.3922675208023863,-1.5671909949668317,14.540420819490587,0.3857104432668499,7.7953860772310035,2.7508790911549905,0.016857117066422806
TOI-3261 b,0.0953,0.3408,0.8831331,0.01714,Primary Transit,TOI-3261,0.14,0.86,0.849,5068.0,154888.74906290736,0.12194514752652584,2.2455606516632742e+18,1.0129564193168434,0.38589879600255045,-1.7659891824128207,50.17502917152859,1.1323321478948076,1.4053204966652981,0.40141342756183745,-1.0764594840269763
TOI-3288 Ab,2.11,1.0,1.4338635,0.0215,Primary Transit,TOI-3288 A,0.65,0.643,0.672,4072.0,206871.29803738042,0.09421293177792801,5.947769883003917e+17,0.956845238095238,0.6974164556110118,-1.6675615400843946,29.90697674418605,0.6974164556110118,2.1188643488149226,1.488095238095238,0.0
TOI-329 b,0.1271,0.4211,5.70439,0.0638,Primary Transit,TOI-329,-0.11,0.98,1.61,5560.0,125301.53276698594,0.07027346001904806,2.347782217548963e+17,0.608695652173913,0.07382033837097393,-1.1951793212788377,15.36050156739812,0.17530358197809057,0.23482722586856714,0.2615527950310559,-0.8648849438142551
TOI-3321 Ab,0.554,1.39,3.6525145,0.047,Primary Transit,TOI-3321 A,-0.103,1.041,1.549,5850.0,128496.2115591945,0.08085107107376044,5.301853808284291e+17,0.6720464816010329,0.3805597486334414,-1.3279021420642825,22.148936170212764,0.2737839918226197,0.28008927294813707,0.8973531310522918,0.3293037471426003
TOI-332 b,0.18,0.285,0.777038,0.0159,Primary Transit,TOI-332,0.26,0.88,0.87,5251.0,150208.02741810973,0.12856854669161022,3.00727971261422e+18,1.0114942528735633,0.3667774291604786,-1.7986028756795485,55.34591194968553,1.286938347931504,1.3363644508832915,0.3275862068965517,-1.2552660987134867
TOI-3331 Ab,2.27,1.158,2.0180231,0.03144,Primary Transit,TOI-3331 A,0.148,1.016,0.952,5609.0,131040.23231613541,0.09788953657553583,1.0013287489885019e+18,1.0672268907563025,0.5738289120674585,-1.5025174626326296,32.31552162849872,0.4955344663794978,1.177559506254306,1.2163865546218486,0.14669437915080344
TOI-333 b,0.0632,0.3801,3.7852503,0.049,Primary Transit,TOI-333,0.01,1.2,1.1,6241.0,121787.0091003756,0.0813357256855114,6.31865393547089e+17,1.0909090909090908,0.10041608080712655,-1.3098039199714864,24.489795918367346,0.2641833223023587,0.901577761081893,0.3455454545454545,-0.967320902986934
TOI-3353 Ab,,0.2382,4.6657965,0.06,Primary Transit,TOI-3353 A,-0.0022000000000000084,1.332,1.02,6365.0,100785.44897876044,0.08079887719723206,4.5592261108350694e+17,1.3058823529411765,0.051052376587791604,-1.2218487496163564,22.200000000000003,0.21432567837024183,1.2551733496166633,0.23352941176470587,-1.4346446220609372
TOI-3362 b,4.0,1.2,18.095367,0.155,Primary Transit,TOI-3362,0.017,1.445,1.83,6532.0,87930.5311979293,0.05382005916834049,7.577419092680858e+16,0.7896174863387978,0.06631531706430713,-0.8096683018297085,9.32258064516129,0.05526276422025594,0.23578413399587858,0.6557377049180327,0.1823215567939546
TOI-3364 b,1.67,1.091,5.8768918,0.0675,Primary Transit,TOI-3364,0.387,1.186,1.419,5706.0,112301.11581822198,0.07216655039227064,2.3265882134783997e+17,0.835799859055673,0.18564234924318326,-1.1706962271689751,17.57037037037037,0.17015797364178117,0.41508544268371944,0.7688513037350246,0.08709470685093373
TOI-3457 b,,0.95,32.600268,0.2,Primary Transit,TOI-3457,0.28,1.04,1.474,6300.0,132847.18420897797,0.03854683223573246,3.938240249999999e+16,0.7055630936227951,0.02914086473154147,-0.6989700043360187,5.2,0.03067459445425418,0.32474381528713675,0.6445047489823609,-0.05129329438755058
TOI-3464 b,1.25,1.228,3.6515568,0.0515,Primary Transit,TOI-3464,0.045,1.363,1.56,6370.0,97619.01784161088,0.08861536627877421,6.207879399038554e+17,0.8737179487179487,0.3362949194710596,-1.288192770958809,26.466019417475728,0.2738557976148694,0.35902282573880206,0.7871794871794872,0.2053868297249507
TOI-3474 b,0.61,1.309,3.8795105,0.0502,Primary Transit,TOI-3474,0.146,1.121,1.256,6020.0,118971.43825461829,0.08130301552745256,5.211689465881493e+17,0.8925159235668789,0.3374137020637011,-1.2992962828549806,22.330677290836654,0.25776447827631865,0.5657658041191319,1.0421974522292994,0.2692634869277628
TOI-3486 b,0.312,0.9429999999999998,2.21778105,0.03138,Primary Transit,TOI-3486,0.28300000000000003,0.837,0.788,4930.0,159176.34155489353,0.08890253388146471,5.999040564965487e+17,1.0621827411167513,0.425199773440214,-1.5033470607490822,26.673040152963672,0.4509011383247232,1.7105934530597784,1.196700507614213,-0.05868899634867973
TOI-3493 b,0.02822,0.2873,8.1594667,0.08126367877676656,Primary Transit,TOI-3493,0.03,1.023,1.228,5844.0,124060.66715542517,0.06257697607829459,1.766232498492677e+17,0.8330618892508143,0.03521063453816167,-1.0901035212135661,12.58864987899708,0.12255702937055923,0.552434169892263,0.23395765472312705,-1.247228312996893
TOI-3523 Ab,1.37,1.425,2.30458952,0.03559,Primary Transit,TOI-3523 A,-0.366,1.131,1.448,6450.0,117815.7090296202,0.09703184152400444,1.366415823187198e+18,0.7810773480662984,0.6183313720874684,-1.448672011996154,31.77858949143018,0.43391675234208305,0.37252628318842257,0.9841160220994476,0.3541718137206139
TOI-3540 Ab,1.18,2.1,3.119999,0.04289,Primary Transit,TOI-3540 A,0.176,1.081,1.228,5810.0,123378.86505893583,0.08637368724314733,6.194302880630563e+17,0.8802931596091205,0.6730771388067753,-1.3676439537609268,25.204010258801585,0.3205129232413216,0.583754973268364,1.710097719869707,0.7419373447293773
TOI-3568 b,0.083,0.473,4.417965,0.0485,Primary Transit,TOI-3568,-0.01,0.78,0.719,4969.0,171087.91202303558,0.06897621130955316,2.5917464347051587e+17,1.0848400556328235,0.10706286717979885,-1.3142582613977363,16.082474226804123,0.2263485564054944,2.098494965060853,0.6578581363004172,-0.7486598904902041
