Unnamed: 0,name,mass,radius,orbital_period,semi_major_axis,eccentricity,temp_calculated,detection_type,star_name,star_metallicity,star_mass,star_radius,star_teff,log_radius,kepler_ratio,orbital_velocity,thermal_equilibrium,star_compactness,radius_period_ratio,log_semi_major,star_mass_orbit_ratio,orbital_frequency,star_density,radius_normalized,log_mass,mass_source
0,109 Psc b,6.8,1.152,1075.4,2.051,0.104,1357.0,"Radial Velocity, Astrometry",109 Psc,0.1,1.13,1.79,5600.0,0.1414995622736994,134042.67407496832,0.0119832741910222,233787231068504.0,0.6312849162011173,0.0010712293100241,0.3119656603683663,0.5509507557289126,0.0009298865538404,0.1970240991857673,0.6435754189944134,0.8325089127062363,Observed
10,1RXS 1609 b,6.6,1.7,2277081.388074019,305.0,0.25,633.8,Imaging,1RXS 1609,-0.0119999999999999,0.73,1.35,4060.0,0.5306282510621704,182750.08561643845,0.0008415911388703,2920817725.987637,0.5407407407407407,7.46569713714923e-07,2.484299839346786,0.0023934426229508,4.391586551264254e-07,0.2967027384036985,1.259259259259259,0.8195439355418687,Observed
17,2MASS J0103-5515 (AB)b,10.5,1.54,444609.9299498381,84.0,0.0403999999999999,1731.0,Imaging,2MASS J0103-5515,-0.138,0.4,0.94,5573.0,0.4317824164255378,333518.90624999994,0.0011870800228475,1.300672220682913e+17,0.9957332605531296,3.4637103138334004e-06,1.9242792860618816,0.0047619047619047,2.24916254145026e-06,1.146640925529523,0.2542857142857143,1.021189299069938,Observed
33,51 Eri Ab,4.1,1.11,10260.0,11.1,0.49,700.0,Imaging,51 Eri A,-0.027,1.75,0.94,5573.0,0.1043600153242428,76970.76185023593,0.0067975981393463,1.300672220682913e+17,0.9957332605531296,0.0001081871345029,1.0453229787866574,0.1576576576576576,9.746588693957116e-05,1.146640925529523,0.2542857142857143,0.6127838567197355,Observed
34,51 Peg b,0.61,1.2,4.2307966,0.052,0.0069,1247.0,Radial Velocity,51 Peg,0.18,1.03,1.176,5758.0,0.1823215567939546,127301.71733167072,0.0772255598327129,4.065181634726687e+17,0.8758503401360545,0.283634528778812,-1.2839966563652008,19.80769230769231,0.2363621073156767,0.6333084161518743,1.020408163265306,-0.2146701649892329,Observed
40,55 Cnc Ae,0.02703,0.1737,0.7365478,0.015439,0.0279999999999999,1018.6,"Radial Velocity, Primary Transit",55 Cnc A,0.35,0.9,0.963,5250.0,-1.7504256057350778,147415.9147499842,0.1317037372965415,3.187123401943377e+18,0.9345794392523366,0.2358299081200161,-1.8113808327921512,58.29393095407734,1.3576851359816702,1.007775156655373,0.1803738317757009,-1.5681539543012746,Observed
60,AB Pic b,12.9,1.75,8.05380809,242.0,0.5399999999999999,720.0,"Imaging, Astrometry",AB Pic,0.04,1.01,0.94,5285.0,0.5596157879354227,137950.0679347825,0.0585918263646933,13321380540.957329,0.9957332605531296,0.0242621329866395,2.383815365980431,11.632943684351554,0.1241648661426363,1.146640925529523,0.2542857142857143,1.110589710299249,Observed
62,AF Lep b,3.75,1.3,8875.0,8.98,0.0129999999999999,1183.8,Imaging,AF Lep,0.19,1.2,1.25,6130.0,0.262364264467491,108769.6455906106,0.0063575215840532,17510124126492.426,0.96,0.0001464788732394,0.9532763366673044,0.1336302895322939,0.000112676056338,0.6144,1.04,0.5740312677277188,Observed
66,AU Mic b,0.028,0.4273,8.463446,0.07,0.07,569.5,Primary Transit,AU Mic,-0.0699999999999999,0.5,0.75,3700.0,-0.8502689363321577,208833.58074319523,0.051967363116935,3.824818367346938e+16,0.6666666666666666,0.0504877091435332,-1.154901959985743,7.142857142857142,0.1181551817073093,1.1851851851851851,0.5697333333333333,-1.5528419686577808,Observed
67,AU Mic c,0.0456,0.2248,18.859023,0.119,0.18,436.0,Primary Transit,AU Mic,-0.0699999999999999,0.5,0.75,3700.0,-1.4925441609626011,211055.8994816092,0.0396467543177804,1.3234665630958268e+16,0.6666666666666666,0.0119200236406732,-0.9244530386074692,4.201680672268908,0.0530250161951655,1.1851851851851851,0.2997333333333333,-1.341035157335565,Observed
80,BD-10 3166 b,0.51,1.03,3.4878,0.046,0.0104,1586.6,Radial Velocity,BD-10 3166,0.5,0.99,1.71,5400.0,0.0295588022415444,124976.87227747186,0.0828678605798099,4.018457466918715e+17,0.5789473684210527,0.2953150983427949,-1.337242168318426,21.52173913043478,0.2867136877114513,0.1979916447525914,0.6023391812865497,-0.2924298239020636,Observed
83,BD-14 3065 Ab,12.37,1.93,4.2889731,0.0656,0.07,2000.0,Primary Transit,BD-14 3065 A,-0.34,1.41,2.35,6935.0,0.6575200029167941,65162.10820080267,0.096101548445473,5.374996464043502e+17,0.6,0.4499911645517198,-1.1830961606243398,21.49390243902439,0.2331560438091812,0.108646446355817,0.8212765957446808,1.0923696996291206,Observed
90,BD+20 594 b,0.0164,0.1989,41.68547,0.2226,0.0,613.0,Primary Transit,BD+20 594,-0.24,0.847,1.088,5748.0,-1.6149530931222105,157541.11867042448,0.0335521477718297,2.2030112647435e+16,0.7784926470588235,0.0047714467415144,-0.6524748400013105,3.80503144654088,0.0239891741654826,0.6576528768541369,0.1828125,-1.785156151952302,Observed
100,BEBOP-2 (AB)b,2.84,0.9876,188.763,0.867,0.089,790.0,Primary Transit,BEBOP-2 (AB),0.34,2.4398,0.94,6030.0,-0.0124775215111125,54673.44620882631,0.02885905427083,1758859114354473.8,0.9957332605531296,0.0052319575340506,-0.0619809025237897,2.814071510957324,0.0052976483738868,1.146640925529523,0.2542857142857143,0.4533183400470376,Observed
103,beta Pic b,11.9,1.35,7707.0,9.93,0.103,1240.8,Imaging,beta Pic,-0.019,1.73,1.8,8052.0,0.3001045924503381,60662.87269160334,0.0080955015051632,42630121249224.086,0.961111111111111,0.000175165434021,0.9969492484953812,0.1742195367573011,0.0001297521733489,0.296639231824417,0.75,1.0755469613925308,Observed
104,beta Pic c,8.89,1.2,1227.0,2.68,0.32,1664.4,Radial Velocity,beta Pic,0.1437999999999999,1.73,1.8,8052.0,0.1823215567939546,78214.04436383463,0.013723664729618,585255463740200.4,0.961111111111111,0.0009779951100244,0.4281347940287888,0.6455223880597014,0.0008149959250203,0.296639231824417,0.6666666666666666,0.9489017609702136,Observed
114,COCONUTS-2 b,7.3,1.03,312569402.31427133,6471.0,0.06,496.0,Imaging,COCONUTS-2,0.0,0.37,0.388,3406.0,0.0295588022415444,360560.9797297297,0.0001300782860437,3213925.273750168,0.9536082474226804,3.295268162442822e-09,3.810971399822208,5.7178179570390974e-05,3.199289478099827e-09,6.334415502595124,2.654639175257732,0.8633228601204559,Observed
115,CoRoT-10 b,2.75,0.97,13.2406,0.1055,0.53,1066.6,Primary Transit,CoRoT-10,0.26,0.89,0.79,5075.0,-0.0304592074847085,149299.36220310754,0.0500638981547245,5.959904037560926e+16,1.1265822784810129,0.073259519961331,-0.9767475403662884,8.436018957345972,0.0755252783106505,1.805131034258953,1.2278481012658229,0.4393326938302626,Observed
116,CoRoT-11 b,2.33,1.43,2.994325,0.04351,0.0,1402.0,Primary Transit,CoRoT-11,0.04,1.27,1.36,6343.0,0.3576744442718159,108850.54873239846,0.0912998397686903,8.550680497529983e+17,0.9338235294117646,0.4775700700491763,-1.361410916707283,29.188692254654104,0.333965083950473,0.5048786383065336,1.051470588235294,0.367355921026019,Observed
